"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"lattice","lattice","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.20-44","recommended","R (>= 3.0.0)","grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra","chron","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"lava","lava","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.6.9",NA,"R (>= 3.0)","grDevices, graphics, methods, numDeriv, stats, survival,
SQUAREM, utils",NA,"KernSmooth, Matrix, Rgraphviz, data.table, ellipse, fields,
foreach, geepack, gof (>= 0.9), graph, knitr, bookdown,
rmarkdown, igraph (>= 0.6), lava.tobit (>= 0.4.7), lavaSearch2,
lme4, magrittr, mets (>= 1.1), nlme, optimx, polycor, quantreg,
rgl, R.rsp (>= 0.40), testthat (>= 0.11), visNetwork, zoo",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"lazyeval","lazyeval","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.2.2",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.0"
"leiden","leiden","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.3.7",NA,NA,"methods, reticulate, Matrix, igraph",NA,"bipartite, covr, data.table, devtools, graphsim, knitr,
multiplex, multinet, markdown, network, RColorBrewer,
rmarkdown, spelling, testthat, tibble",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"lifecycle","lifecycle","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.0.0",NA,"R (>= 3.3)","glue, rlang (>= 0.4.10)",NA,"covr, crayon, knitr, rmarkdown, testthat (>= 3.0.1), tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"limma","limma","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","3.46.0",NA,"R (>= 3.6.0)","grDevices, graphics, stats, utils, methods",NA,"affy, AnnotationDbi, BiasedUrn, Biobase, ellipse, GO.db,
gplots, illuminaio, locfit, MASS, org.Hs.eg.db, splines,
statmod (>= 1.2.2), vsn",NA,"GPL (>=2)",NA,NA,NA,NA,"yes","4.0.5"
"Linnorm","Linnorm","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.14.0",NA,"R(>= 3.4)","Rcpp (>= 0.12.2), RcppArmadillo (>= 0.8.100.1.0), fpc, vegan,
mclust, apcluster, ggplot2, ellipse, limma, utils, statmod,
MASS, igraph, grDevices, graphics, fastcluster, ggdendro, zoo,
stats, amap, Rtsne, gmodels","Rcpp, RcppArmadillo","BiocStyle, knitr, rmarkdown, gplots, RColorBrewer, moments,
testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"listenv","listenv","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.8.0",NA,"R (>= 3.1.2)",NA,NA,"R.utils, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.5"
"lme4","lme4","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.1-27",NA,"R (>= 3.2.0), Matrix (>= 1.2-1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)","Rcpp (>= 0.10.5), RcppEigen","knitr, rmarkdown, PKPDmodels, MEMSS, testthat (>= 0.8.1),
ggplot2, mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR3,
numDeriv, car, dfoptim, mgcv, statmod, rr2, semEff",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"lmtest","lmtest","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.9-38",NA,"R (>= 3.0.0), stats, zoo","graphics",NA,"car, strucchange, sandwich, dynlm, stats4, survival, AER",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"locfit","locfit","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.5-9.4",NA,"R (>= 3.5.0)","lattice",NA,"interp, gam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"lubridate","lubridate","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.7.10",NA,"methods, R (>= 3.2)","generics, Rcpp (>= 0.12.13)","Rcpp","covr, knitr, testthat (>= 2.1.0), vctrs (>= 0.3.0), rmarkdown","chron, timeDate, tis, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"magrittr","magrittr","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.0.1",NA,NA,NA,NA,"covr, knitr, rlang, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"maps","maps","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","3.3.0",NA,"R (>= 3.0.0)","graphics, utils",NA,"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, maptools,
rnaturalearth",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.0"
"maptools","maptools","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.1-1",NA,"R (>= 2.10), sp (>= 1.0-11)","foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices",NA,"rgeos (>= 0.1-8), spatstat.geom (>= 1.65-0), PBSmapping,
maps, RColorBrewer, raster, polyclip, plotrix, spatstat.linnet
(>= 1.65-3), spatstat.utils (>= 1.19.0), spatstat (>= 2.0-0)","gpclib","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"markdown","markdown","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.1",NA,"R (>= 2.11.1)","utils, xfun, mime (>= 0.3)",NA,"knitr, RCurl",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"MASS","MASS","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","7.3-54","recommended","R (>= 3.3.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"Matrix","Matrix","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.3-2","recommended","R (>= 3.6.0)","methods, graphics, grid, stats, utils, lattice",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc, igraph, maptools, sp,
spdep","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.0.3"
"MatrixGenerics","MatrixGenerics","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.2.1",NA,"matrixStats (> 0.57.0)","methods",NA,"sparseMatrixStats, DelayedMatrixStats, SummarizedExperiment,
testthat (>= 2.1.0)",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.5"
"MatrixModels","MatrixModels","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.5-0",NA,"R (>= 3.0.1)","stats, methods, Matrix (>= 1.1-5)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"matrixStats","matrixStats","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.58.0",NA,"R (>= 2.12.0)",NA,NA,"base64enc, ggplot2, knitr, microbenchmark, R.devices, R.rsp",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.5"
"mclust","mclust","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","5.4.7",NA,"R (>= 3.0)","stats, utils, graphics, grDevices",NA,"knitr (>= 1.12), rmarkdown (>= 0.9), mix (>= 1.0), geometry
(>= 0.3-6), MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"methods","methods","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","4.0.5","base",NA,"utils, stats",NA,"codetools",NA,"Part of R 4.0.5",NA,NA,NA,NA,"yes","4.0.5"
"mgcv","mgcv","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.8-34","recommended","R (>= 3.6.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"mime","mime","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.10",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.0.3"
"miniUI","miniUI","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.1.1.1",NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"minqa","minqa","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.2.4",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"ModelMetrics","ModelMetrics","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.2.2.2",NA,"R (>= 3.2.2)","Rcpp, data.table","Rcpp","testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"modelr","modelr","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.1.8",NA,"R (>= 3.2)","broom, magrittr, purrr (>= 0.2.2), rlang (>= 0.2.0), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs",NA,"compiler, covr, ggplot2, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"modeltools","modeltools","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.2-23",NA,"stats, stats4","methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"munsell","munsell","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.5.0",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"nlme","nlme","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","3.1-152","recommended","R (>= 3.4.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS",NA,"GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.0.3"
"nloptr","nloptr","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.2.2.2",NA,NA,NA,NA,"testthat (>= 0.8.1), knitr, rmarkdown, inline (>= 0.3.14)",NA,"LGPL-3",NA,NA,NA,NA,"yes","4.0.5"
"nnet","nnet","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","7.3-16","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"numDeriv","numDeriv","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"openssl","openssl","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.4.4",NA,NA,"askpass",NA,"testthat (>= 2.1.0), digest, knitr, rmarkdown, jsonlite,
jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"openxlsx","openxlsx","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","4.2.3",NA,"R (>= 3.3.0)","grDevices, methods, Rcpp, stats, utils, zip, stringi","Rcpp","knitr, testthat, roxygen2, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"parallel","parallel","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","4.0.5","base",NA,"tools, compiler",NA,"methods","snow, nws, Rmpi","Part of R 4.0.5",NA,NA,NA,NA,"yes","4.0.5"
"parallelly","parallelly","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.25.0",NA,NA,"parallel, tools, utils",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.5"
"patchwork","patchwork","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.1.1",NA,NA,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"pbapply","pbapply","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.4-3",NA,"R (>= 3.2.0)","parallel",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"pbdZMQ","pbdZMQ","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.3-5",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"pbkrtest","pbkrtest","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.5.1",NA,"R (>= 3.5.0), lme4 (>= 1.1.10)","broom, dplyr, magrittr, MASS, Matrix (>= 1.2.3), methods,
numDeriv, parallel, knitr",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"permute","permute","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.9-5",NA,"R (>= 2.14.0)","stats",NA,"vegan (>= 2.0-0), testthat (>= 0.5), parallel",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"pillar","pillar","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.6.1",NA,NA,"cli, crayon (>= 1.3.4), ellipsis (>= 0.3.2), fansi, lifecycle,
rlang (>= 0.3.0), utf8 (>= 1.1.0), utils, vctrs (>= 0.3.8)",NA,"bit64, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nycflights13, palmerpenguins, rmarkdown,
scales, stringi, survival, testthat (>= 3.0.2), tibble, units,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"pkgconfig","pkgconfig","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"pkgload","pkgload","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.2.1",NA,NA,"cli, crayon, desc, methods, rlang, rprojroot, rstudioapi,
utils, withr",NA,"bitops, covr, pkgbuild, Rcpp, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"plotly","plotly","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","4.9.3",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr (>= 1.3.0), jsonlite (>= 1.6), magrittr,
digest, viridisLite, base64enc, htmltools (>= 0.3.6),
htmlwidgets (>= 1.5.2.9001), tidyr, RColorBrewer, dplyr, vctrs,
tibble, lazyeval (>= 0.2.0), rlang, crosstalk, purrr,
data.table, promises",NA,"MASS, maps, hexbin, ggthemes, GGally, testthat, knitr,
devtools, shiny (>= 1.1.0), shinytest (>= 1.3.0), curl,
rmarkdown, vdiffr, Cairo, broom, webshot, listviewer,
dendextend, sf, maptools, rgeos, png, IRdisplay, processx,
plotlyGeoAssets, forcats, palmerpenguins",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"plyr","plyr","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.8.6",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"png","png","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.1-7",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"polyclip","polyclip","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.10-0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"BSL",NA,NA,NA,NA,"yes","4.0.5"
"prabclus","prabclus","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.3-2",NA,"R (>= 2.10), MASS, mclust",NA,NA,"spdep, spatialreg, bootstrap, maptools, foreign, mvtnorm",NA,"GPL",NA,NA,NA,NA,"no","4.0.5"
"praise","praise","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"prettyunits","prettyunits","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.1.1",NA,NA,NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"pROC","pROC","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.17.0.1",NA,"R (>= 2.14)","methods, plyr, Rcpp (>= 0.11.1)","Rcpp","microbenchmark, tcltk, MASS, logcondens, doParallel,
testthat, vdiffr, ggplot2",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.3"
"processx","processx","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","3.5.2",NA,NA,"ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.2.0), cli, codetools, covr, curl, debugme,
parallel, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"prodlim","prodlim","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2019.11.13",NA,"R (>= 2.9.0)","Rcpp (>= 0.11.5), stats, grDevices, graphics, survival,
KernSmooth, lava","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"progress","progress","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.2.2",NA,NA,"hms, prettyunits, R6, crayon",NA,"Rcpp, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"promises","promises","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.2.0.1",NA,NA,"R6, Rcpp, later, rlang, stats, magrittr","later, Rcpp","testthat, future (>= 1.21.0), fastmap (>= 1.1.0), purrr,
knitr, rmarkdown, vembedr, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"pryr","pryr","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.1.4",NA,"R (>= 3.1.0)","stringr, codetools, methods, Rcpp (>= 0.11.0)","Rcpp","testthat (>= 0.8.0)",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.0"
"ps","ps","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.6.0",NA,"R (>= 3.1)","utils",NA,"callr, covr, curl, pingr, processx (>= 3.1.0), R6, rlang,
testthat, tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"purrr","purrr","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.3.4",NA,"R (>= 3.2)","magrittr (>= 1.5), rlang (>= 0.3.1)",NA,"covr, crayon, dplyr (>= 0.7.8), knitr, rmarkdown, testthat,
tibble, tidyselect",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"quantmod","quantmod","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.4.18",NA,"R (>= 3.2.0), xts(>= 0.9-0), zoo, TTR(>= 0.2), methods","curl",NA,"DBI,RMySQL,RSQLite,timeSeries,xml2,downloader,jsonlite(>=
1.1)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"quantreg","quantreg","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","5.85",NA,"R (>= 2.6), stats, SparseM","methods, graphics, Matrix, MatrixModels, conquer",NA,"tripack, akima, MASS, survival, rgl, logspline, nor1mix,
Formula, zoo, R.rsp",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"R.methodsS3","R.methodsS3","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.8.1",NA,"R (>= 2.13.0)","utils",NA,"codetools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.5"
"R.oo","R.oo","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.24.0",NA,"R (>= 2.13.0), R.methodsS3 (>= 1.8.0)","methods, utils",NA,"tools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.5"
"R.utils","R.utils","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.10.1",NA,"R (>= 2.14.0), R.oo (>= 1.23.0)","methods, utils, tools, R.methodsS3 (>= 1.8.0)",NA,"digest (>= 0.6.10)",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.0.5"
"R6","R6","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.5.0",NA,"R (>= 3.0)",NA,NA,"knitr, microbenchmark, pryr, testthat, ggplot2, scales",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"randomForest","randomForest","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","4.6-14",NA,"R (>= 3.2.2), stats",NA,NA,"RColorBrewer, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"RANN","RANN","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","2.6.1",NA,NA,NA,NA,"testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.5"
"rappdirs","rappdirs","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.3.3",NA,"R (>= 3.2)",NA,NA,"roxygen2, testthat (>= 3.0.0), covr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"rbokeh","rbokeh","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.5.1",NA,NA,"htmlwidgets (>= 0.5), maps, methods, jsonlite, digest, hexbin,
lazyeval, pryr, magrittr, ggplot2, scales, gistr",NA,"testthat, data.table, lattice, lintr, roxygen2 (>= 5.0.0),
latticeExtra, knitr, rmarkdown","shiny (>= 0.12)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"RColorBrewer","RColorBrewer","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.1-2",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.0.0"
"Rcpp","Rcpp","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","1.0.6",NA,NA,"methods, utils",NA,"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"RcppAnnoy","RcppAnnoy","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.0.18",NA,"R (>= 3.1)","methods, Rcpp","Rcpp","tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"RcppArmadillo","RcppArmadillo","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.10.4.0.0",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.0), stats, utils, methods","Rcpp","tinytest, Matrix (>= 1.3.0), pkgKitten, reticulate, slam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"RcppEigen","RcppEigen","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.3.3.9.1",NA,NA,"Matrix (>= 1.1-0), Rcpp (>= 0.11.0), stats, utils","Rcpp","inline, tinytest, pkgKitten, microbenchmark",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"RcppHNSW","RcppHNSW","/projects/pfenninggroup/machineLearningForComputationalBiology/SingleCell/lib/anaconda3/envs/neuron/lib/R/library","0.3.0",NA,NA,"methods, Rcpp (>= 0.11.3)","Rcpp","testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
